"id","pax","name","club_name",
"1","0.858","SS","NORA - ASCC",
"2","0.844","AS","NORA - ASCC",
"3","0.843","BS","NORA - ASCC",
"4","0.833","CS","NORA - ASCC",
"5","0.821","DS","NORA - ASCC",
"6","0.828","ES","NORA - ASCC",
"7","0.825","FS","NORA - ASCC",
"8","0.814","GS","NORA - ASCC",
"9","0.799","HS","NORA - ASCC",
"10","0.863","ASP","NORA - ASCC",
"11","0.859","BSP","NORA - ASCC",
"12","0.857","CSP","NORA - ASCC",
"13","0.851","DSP","NORA - ASCC",
"14","0.848","ESP","NORA - ASCC",
"15","0.838","FSP","NORA - ASCC",
"16","0.82","STC","NORA - ASCC",
"17","0.827","STS","NORA - ASCC",
"18","0.835","STR","NORA - ASCC",
"19","0.822","STX","NORA - ASCC",
"20","0.841","STU","NORA - ASCC",
"21","0.866","SM","NORA - ASCC",
"22","0.852","SMF","NORA - ASCC",
"23","0.879","SSM","NORA - ASCC",
"24","0.898","XP","NORA - ASCC",
"25","0.873","BP","NORA - ASCC",
"26","0.86","CP","NORA - ASCC",
"27","0.868","DP","NORA - ASCC",
"28","0.87","EP","NORA - ASCC",
"29","0.875","FP","NORA - ASCC",
"30","0.85","GP","NORA - ASCC",
"31","1","AM","NORA - ASCC",
"32","0.96","BM","NORA - ASCC",
"33","0.906","CM","NORA - ASCC",
"34","0.915","DM","NORA - ASCC",
"35","0.928","EM","NORA - ASCC",
"36","0.913","FM","NORA - ASCC",
"37","0.989","SAE","NORA - ASCC",
"38","0.952","KM","NORA - ASCC",
"39","0.876","JA","NORA - ASCC",
"40","0.834","JB","NORA - ASCC",
"41","0.747","JC","NORA - ASCC",
"42","0.838","FSPL","NORA - ASCC",
"43","1","K","Buschur",
"44","1","X","Buschur",
"45","1","DS","Buschur",
"46","1","ES","Buschur",
"47","1","MDS","Buschur",
"48","1","MES","Buschur",
"49","1","MER","Buschur",
"50","1","ER","Buschur",
"51","1","MDR","Buschur",
"52","1","DR","Buschur",
"53","0.794","STF","NORA - ASCC",
"54","0.865","SSP","NORA - ASCC",
"55","0.827","STSL","NORA - ASCC",
