"id","registration_id","event_id","sess_id"
"4418","652","7","63"
"4417","1266","7","63"
"4416","1185","7","63"
"4415","649","7","63"
"4414","767","7","63"
"4413","766","7","63"
"4412","646","7","63"
"4411","645","7","63"
"4410","644","7","63"
"4409","744","7","63"
"4408","642","7","63"
"4407","1265","7","63"
"4406","640","7","63"
"4405","639","7","63"
"4404","638","7","63"
"4403","428","7","63"
"4402","637","7","63"
"4401","59","7","63"
"4400","173","7","63"
"4399","143","7","63"
"4398","79","7","63"
"4397","118","7","63"
"4396","128","7","63"
"4395","141","7","63"
"4394","142","7","63"
"4393","92","7","63"
"4392","235","7","63"
"4391","182","7","63"
"4390","111","7","63"
"4389","176","7","63"
"4388","105","7","63"
"4387","214","7","63"
"4386","78","7","63"
"4385","156","7","63"
"4384","233","7","63"
"4383","106","7","63"
"4382","64","7","63"
"4381","68","7","63"
"4380","215","7","63"
"4379","76","7","63"
"4378","187","7","63"
"4377","103","7","63"
"4376","152","7","63"
"4375","112","7","63"
"4374","102","7","63"
"4373","139","7","63"
"4372","73","7","63"
"4371","70","7","63"
"4370","71","7","63"
"4369","110","7","63"
"4368","120","7","63"
"4367","231","7","63"
"4366","96","7","63"
"4365","196","7","63"
"4364","69","7","63"
"4363","109","7","63"
"4362","189","7","63"
"4361","228","7","63"
"4360","60","7","63"
"4359","99","7","63"
"4358","65","7","63"
"4357","104","7","63"
"4356","84","7","63"
"4355","113","7","63"
"4354","97","7","63"
"4353","153","7","63"
"4352","148","7","63"
"4351","125","7","63"
"4350","134","7","63"
"4349","88","7","63"
"4348","91","7","63"
"4347","184","7","63"
"4346","185","7","63"
"4345","157","7","63"
"4344","155","7","63"
"4343","80","7","63"
"4342","117","7","63"
"4341","216","7","63"
"4340","62","7","63"
"4339","87","7","63"
"4338","119","7","63"
"4337","181","7","63"
"4336","74","7","63"
"4335","137","7","63"
"4334","652","7","62"
"4333","1266","7","62"
"4332","1185","7","62"
"4331","649","7","62"
"4330","767","7","62"
"4329","766","7","62"
"4328","646","7","62"
"4327","645","7","62"
"4326","644","7","62"
"4325","744","7","62"
"4324","642","7","62"
"4323","1265","7","62"
"4322","640","7","62"
"4321","639","7","62"
"4320","638","7","62"
"4319","428","7","62"
"4318","637","7","62"
"4317","59","7","62"
"4316","173","7","62"
"4315","143","7","62"
"4314","79","7","62"
"4313","118","7","62"
"4312","128","7","62"
"4311","141","7","62"
"4310","142","7","62"
"4309","92","7","62"
"4308","235","7","62"
"4307","182","7","62"
"4306","111","7","62"
"4305","176","7","62"
"4304","105","7","62"
"4303","214","7","62"
"4302","78","7","62"
"4301","156","7","62"
"4300","233","7","62"
"4299","106","7","62"
"4298","64","7","62"
"4297","68","7","62"
"4296","215","7","62"
"4295","76","7","62"
"4294","187","7","62"
"4293","103","7","62"
"4292","152","7","62"
"4291","112","7","62"
"4290","102","7","62"
"4289","139","7","62"
"4288","73","7","62"
"4287","70","7","62"
"4286","71","7","62"
"4285","110","7","62"
"4284","120","7","62"
"4283","231","7","62"
"4282","96","7","62"
"4281","196","7","62"
"4280","69","7","62"
"4279","109","7","62"
"4278","189","7","62"
"4277","228","7","62"
"4276","60","7","62"
"4275","99","7","62"
"4274","65","7","62"
"4273","104","7","62"
"4272","84","7","62"
"4271","113","7","62"
"4270","97","7","62"
"4269","153","7","62"
"4268","148","7","62"
"4267","125","7","62"
"4266","134","7","62"
"4265","88","7","62"
"4264","91","7","62"
"4263","184","7","62"
"4262","185","7","62"
"4261","157","7","62"
"4260","155","7","62"
"4259","80","7","62"
"3147",NULL,NULL,NULL
"3146",NULL,NULL,NULL
"3145",NULL,NULL,NULL
"3144",NULL,NULL,NULL
"3143",NULL,NULL,NULL
"3142",NULL,NULL,NULL
"3141",NULL,NULL,NULL
"3140",NULL,NULL,NULL
"169",NULL,NULL,NULL
"170",NULL,NULL,NULL
"171",NULL,NULL,NULL
"172",NULL,NULL,NULL
"173",NULL,NULL,NULL
"174",NULL,NULL,NULL
"175",NULL,NULL,NULL
"176",NULL,NULL,NULL
"177",NULL,NULL,NULL
"178",NULL,NULL,NULL
"4522","334","8","65"
"4521","355","8","65"
"4520","466","8","65"
"4519","1270","8","65"
"4518","469","8","65"
"4517","463","8","65"
"4516","462","8","65"
"4515","461","8","65"
"4514","460","8","65"
"4513","455","8","65"
"4512","357","8","65"
"4511","362","8","65"
"4510","310","8","65"
"4509","325","8","65"
"4508","353","8","65"
"4507","344","8","65"
"4506","314","8","65"
"4505","356","8","65"
"4504","735","8","65"
"4503","308","8","65"
"4502","345","8","65"
"4501","186","8","65"
"4500","320","8","65"
"4499","237","8","65"
"4498","364","8","65"
"4497","315","8","65"
"4496","284","8","65"
"4495","361","8","65"
"4494","323","8","65"
"4493","292","8","65"
"4492","458","8","65"
"4491","305","8","65"
"4490","347","8","65"
"4489","316","8","65"
"4488","301","8","65"
"4487","312","8","65"
"4486","454","8","65"
"4485","236","8","65"
"4484","343","8","65"
"4483","332","8","65"
"4482","337","8","65"
"4481","351","8","65"
"4480","287","8","65"
"222",NULL,NULL,NULL
