"id","base_time","calc_time","index_time","cones","penalty","result_id","result_2_id"
"1","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40723","60.595","60.595","49.2031","0",NULL,"4259",NULL
"15362","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1904","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40725","61.576","61.576","49.9997","0","O/C","4259",NULL
"6","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32896","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15357","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3571","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"11","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1899","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3566","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40719","56.962","56.962","47.2785","0",NULL,"4258","4258"
"16","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40718","75.889","75.889","62.9879","0",NULL,"4258",NULL
"1894","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40715","58.154","58.154","48.2097","0",NULL,"4257",NULL
"21","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40714","57.845","57.845","47.9535","0",NULL,"4257","4257"
"32891","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40721","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"26","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1889","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40717","59.14","59.14","49.0862","0",NULL,"4258",NULL
"40716","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"31","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3561","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1884","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40708","61.063","61.063","51.5372","0",NULL,"4256",NULL
"36","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3556","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15352","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32886","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40711","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40712","61.249","61.249","50.7754","0",NULL,"4257",NULL
"40713","60.074","60.074","49.8013","0",NULL,"4257",NULL
"46","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40709","54.836","54.836","46.2816","0",NULL,"4256",NULL
"1874","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40705","53.19","53.19","44.8924","0",NULL,"4255","4255"
"40706","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"51","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40704","53.976","53.976","45.5557","0",NULL,"4255",NULL
"3551","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1869","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"56","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3546","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15342","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40710","53.11","53.11","44.8248","0",NULL,"4256","4256"
"61","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1864","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15337","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3541","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32881","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"66","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41311","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1859","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41303","53.085","53.085","43.7951","0",NULL,"4375",NULL
"71","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32876","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"40707","53.639","53.639","45.2713","0",NULL,"4256",NULL
"15332","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"76","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1854","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41312","57.37","57.37","50.3135","0",NULL,"4377","4377"
"15327","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"81","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3536","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1849","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3531","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"86","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32871","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1844","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"91","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41306","1e+09","1e+09",NULL,"0","DNF","4376",NULL
"41305","52.449","52.449","43.2704","0",NULL,"4375","4375"
"41304","61.684","65.684","54.1893","2",NULL,"4375",NULL
"96","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1839","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41301","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41300","52.827","52.827","42.4201","0",NULL,"4374","4374"
"41299","53.761","53.761","43.1701","0",NULL,"4374",NULL
"101","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3526","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32866","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1834","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"106","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41295","51.91","51.91","41.6837","0",NULL,"4373","4373"
"3521","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15322","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"111","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41302","53.532","53.532","44.1639","0",NULL,"4375",NULL
"1829","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41298","54.326","54.326","43.6238","0",NULL,"4374",NULL
"15317","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41296","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1824","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"121","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32861","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15312","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41291","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"126","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3516","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1819","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15307","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"131","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3511","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1814","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"136","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41297","54.29","54.29","43.5949","0",NULL,"4374",NULL
"41292","58.159","58.159","46.7017","0",NULL,"4373",NULL
"3506","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32856","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1809","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41294","52.683","52.683","42.3044","0",NULL,"4373",NULL
"146","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3501","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41285","56.193","56.193","45.123","0",NULL,"4371",NULL
"32851","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"151","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41293","54.583","54.583","43.8302","0",NULL,"4373",NULL
"1804","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"32846","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"156","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41288","53.488","53.488","42.9509","0",NULL,"4372","4372"
"1799","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15302","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"161","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41283","55.898","55.898","44.8861","0",NULL,"4371",NULL
"3496","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"166","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"1794","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3491","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41286","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41287","53.577","53.577","43.0223","0",NULL,"4372",NULL
"171","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15297","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41284","55.885","55.885","44.8757","0",NULL,"4371","4371"
"1789","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"176","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"3486","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41282","62.949","62.949","50.548","0",NULL,"4371",NULL
"41281","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"181","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"15292","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41277","50.673","50.673","41.1465","0",NULL,"4370","4370"
"1784","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"186","1e+09","1e+09",NULL,"0","DNF",NULL,NULL
"41280","51.073","51.073","41.4713","0",NULL,"4370",NULL
