"id","name","event_id","course_id"
"63","PM","7",NULL
"65","AM","8",NULL
"62","AM","7",NULL
"66","AM","9",NULL
"70","AM","10",NULL
"77","AM","13",NULL
"78","Finallist - 3 Runs","25",NULL
"79","AM","15",NULL
"80",NULL,NULL,NULL
"82","Challenge","16",NULL
"71","AM","11",NULL
"72","PM","11",NULL
"73","AM","12",NULL
"67","PM","9",NULL
"83","AM","17",NULL
"84","PM","17",NULL
"87","AM","18",NULL
"88","PM","18",NULL
"92","AM","26",NULL
"93","PM","26",NULL
"95","AM","20",NULL
"97","AM","21",NULL
"101","AM","22",NULL
"102","PM","22",NULL
"103","AM","2667",NULL
"104",NULL,NULL,NULL
"105",NULL,NULL,NULL
"106",NULL,NULL,NULL
"107",NULL,NULL,NULL
"114","AM","2668",NULL
"116","AM","2900",NULL
"117",NULL,NULL,NULL
"118",NULL,NULL,NULL
"119","AM","2902",NULL
"120","AM","2904",NULL
"121","PM","2904",NULL
"142","AM","3655",NULL
"140","AM","3650",NULL
"143","PM","11940",NULL
"144","AM","3667",NULL
"145","AM","3654",NULL
"146","AM","11938",NULL
"148","AM","11946",NULL
"149","AM","11941",NULL
"151","AM","11942",NULL
"153","AM","11943",NULL
"154","PM","11943",NULL
"156","AM","11944",NULL
"159","AM","11945",NULL
"163","AM","11948",NULL
"166","AM","11950",NULL
"168","AM","11951",NULL
"173","AM","11952",NULL
"174","PM","11952",NULL
